episode,reward,success,epsilon,steps
1,0.0,1,0.995,5
2,0.0,1,0.990025,10
3,0.0,1,0.985074875,4
4,0.0,1,0.9801495006250001,6
5,0.0,1,0.9752487531218751,6
6,0.0,1,0.9703725093562657,2
7,0.0,1,0.9655206468094844,5
8,0.0,1,0.960693043575437,6
9,0.0,1,0.9558895783575597,4
10,0.0,1,0.9511101304657719,4
11,0.0,1,0.946354579813443,9
12,0.0,1,0.9416228069143757,3
13,0.0,1,0.9369146928798039,7
14,0.0,1,0.9322301194154049,3
15,0.0,1,0.9275689688183278,2
16,0.0,1,0.9229311239742362,7
17,0.0,1,0.918316468354365,3
18,0.0,1,0.9137248860125932,7
19,0.0,1,0.9091562615825302,4
20,0.0,1,0.9046104802746175,5
21,0.0,1,0.9000874278732445,19
22,0.0,1,0.8955869907338783,8
23,0.0,1,0.8911090557802088,13
24,0.0,1,0.8866535105013078,15
25,0.0,1,0.8822202429488013,8
26,0.0,1,0.8778091417340573,11
27,0.0,1,0.8734200960253871,11
28,0.0,1,0.8690529955452602,17
29,0.0,1,0.8647077305675338,14
30,0.0,1,0.8603841919146962,5
31,0.0,1,0.8560822709551227,2
32,0.0,1,0.851801859600347,5
33,0.0,1,0.8475428503023453,4
34,0.0,1,0.8433051360508336,12
35,0.0,1,0.8390886103705794,10
36,0.0,1,0.8348931673187264,5
37,0.0,1,0.8307187014821328,20
38,0.0,1,0.8265651079747222,2
39,0.0,1,0.8224322824348486,4
40,0.0,1,0.8183201210226743,6
41,0.0,1,0.8142285204175609,5
42,0.0,1,0.810157377815473,16
43,0.0,1,0.8061065909263957,6
44,0.0,1,0.8020760579717637,2
45,0.0,1,0.798065677681905,3
46,0.0,1,0.7940753492934954,3
47,0.0,1,0.7901049725470279,6
48,0.0,1,0.7861544476842928,25
49,0.0,1,0.7822236754458713,18
50,0.0,1,0.778312557068642,4
51,0.0,1,0.7744209942832988,11
52,0.0,1,0.7705488893118823,16
53,0.0,1,0.7666961448653229,9
54,0.0,1,0.7628626641409962,8
55,0.0,1,0.7590483508202912,5
56,0.0,1,0.7552531090661897,12
57,0.0,1,0.7514768435208588,5
58,0.0,1,0.7477194593032545,4
59,0.0,1,0.7439808620067382,14
60,0.0,1,0.7402609576967045,3
61,0.0,1,0.736559652908221,15
62,0.0,1,0.7328768546436799,3
63,0.0,1,0.7292124703704616,32
64,0.0,1,0.7255664080186093,9
65,0.0,1,0.7219385759785162,7
66,0.0,1,0.7183288830986236,18
67,0.0,1,0.7147372386831305,17
68,0.0,1,0.7111635524897149,9
69,0.0,1,0.7076077347272662,5
70,0.0,1,0.7040696960536299,4
71,0.0,1,0.7005493475733617,6
72,0.0,1,0.697046600835495,3
73,0.0,1,0.6935613678313175,21
74,0.0,1,0.6900935609921609,7
75,0.0,1,0.6866430931872001,3
76,0.0,1,0.6832098777212641,17
77,0.0,1,0.6797938283326578,8
78,0.0,1,0.6763948591909945,15
79,0.0,1,0.6730128848950395,8
80,0.0,1,0.6696478204705644,6
81,0.0,1,0.6662995813682115,7
82,0.0,1,0.6629680834613705,3
83,0.0,1,0.6596532430440636,13
84,0.0,1,0.6563549768288433,3
85,0.0,1,0.653073201944699,9
86,0.0,1,0.6498078359349755,3
87,1.0,1,0.6465587967553006,8
88,0.0,1,0.6433260027715241,10
89,0.0,1,0.6401093727576664,5
90,0.0,1,0.6369088258938781,2
91,1.0,1,0.6337242817644086,16
92,0.0,1,0.6305556603555866,4
93,0.0,1,0.6274028820538087,5
94,0.0,1,0.6242658676435396,4
95,0.0,1,0.6211445383053219,12
96,0.0,1,0.6180388156137953,17
97,0.0,1,0.6149486215357263,7
98,0.0,1,0.6118738784280476,16
99,0.0,1,0.6088145090359074,4
100,0.0,1,0.6057704364907278,2
101,0.0,1,0.6027415843082742,5
102,0.0,1,0.5997278763867329,6
103,0.0,1,0.5967292370047992,6
104,0.0,1,0.5937455908197752,16
105,0.0,1,0.5907768628656763,2
106,0.0,1,0.5878229785513479,15
107,0.0,1,0.5848838636585911,5
108,0.0,1,0.5819594443402982,2
109,0.0,1,0.5790496471185967,9
110,0.0,1,0.5761543988830038,6
111,0.0,1,0.5732736268885887,10
112,0.0,1,0.5704072587541458,6
113,0.0,1,0.567555222460375,5
114,0.0,1,0.5647174463480732,6
115,0.0,1,0.5618938591163328,6
116,0.0,1,0.5590843898207511,4
